iter	Passed	Remaining
0	1	142
1	2	137
2	3	120
3	4	109
4	5	107
5	6	104
6	7	102
7	8	99
8	9	97
9	10	95
10	11	93
11	12	90
12	13	87
13	13	85
14	14	83
15	15	81
16	16	80
17	17	79
18	18	79
19	19	78
20	20	77
21	21	76
22	22	75
23	23	74
24	24	73
25	25	72
26	26	71
27	27	71
28	28	70
29	29	69
30	31	69
31	32	68
32	33	67
33	34	66
34	35	65
35	36	64
36	37	63
37	38	62
38	39	61
39	40	60
40	41	59
41	41	57
42	42	56
43	43	55
44	45	55
45	46	54
46	47	53
47	48	52
48	49	51
49	50	50
50	51	49
51	52	48
52	54	47
53	55	47
54	56	46
55	57	45
56	59	44
57	60	43
58	61	42
59	62	41
60	63	40
61	64	39
62	65	38
63	66	37
64	66	36
65	67	34
66	68	33
67	69	32
68	70	31
69	71	30
70	71	29
71	72	28
72	73	27
73	74	26
74	75	25
75	76	24
76	77	23
77	78	22
78	79	21
79	81	20
80	82	19
81	84	18
82	85	17
83	87	16
84	88	15
85	90	14
86	91	13
87	93	12
88	95	11
89	97	10
90	99	9
91	101	8
92	102	7
93	105	6
94	107	5
95	109	4
96	111	3
97	112	2
98	114	1
99	116	0
