iter	Passed	Remaining
0	150	150371
1	151	75602
2	152	50661
3	153	38197
4	154	30697
5	154	25666
6	155	22079
7	156	19463
8	157	17381
9	158	15708
10	159	14337
11	160	13186
12	160	12210
13	161	11372
14	162	10649
15	162	10013
16	163	9452
17	164	8954
18	164	8508
19	165	8106
20	166	7744
21	166	7414
22	167	7112
23	168	6836
24	168	6581
25	169	6346
26	170	6137
27	171	5957
28	172	5772
29	173	5600
30	174	5441
31	175	5294
32	175	5150
33	176	5014
34	177	4885
35	177	4765
36	178	4650
37	179	4541
38	180	4438
39	181	4344
40	181	4250
41	182	4161
42	183	4076
43	183	3995
44	184	3923
45	185	3855
46	186	3786
47	187	3719
48	188	3655
49	189	3593
50	189	3533
51	190	3474
52	191	3417
53	191	3362
54	192	3309
55	193	3258
56	193	3208
57	194	3160
58	195	3114
59	195	3070
60	196	3027
61	197	2985
62	198	2949
63	199	2912
64	200	2879
65	200	2843
66	201	2807
67	202	2773
68	203	2739
69	203	2707
70	204	2675
71	205	2644
72	205	2614
73	206	2584
74	207	2556
75	207	2527
76	208	2500
77	209	2473
78	209	2448
79	210	2423
80	211	2398
81	212	2376
82	212	2349
83	213	2326
84	214	2306
85	215	2289
86	216	2268
87	216	2247
88	217	2226
89	218	2206
90	218	2186
91	219	2166
92	220	2147
93	220	2128
94	221	2110
95	222	2092
96	222	2074
97	223	2057
98	224	2040
99	224	2024
100	225	2008
101	226	1993
102	227	1977
103	227	1962
104	228	1948
105	229	1937
106	230	1923
107	231	1910
108	232	1897
109	233	1885
110	233	1873
111	234	1860
112	235	1846
113	235	1833
114	236	1820
115	237	1808
116	237	1795
117	238	1784
118	239	1773
119	240	1763
120	241	1752
121	241	1740
122	242	1730
123	243	1722
124	244	1713
125	245	1703
126	246	1692
127	247	1682
128	247	1673
129	248	1663
130	249	1654
131	250	1645
132	250	1635
133	251	1626
134	252	1617
135	253	1609
136	254	1600
137	254	1591
138	255	1582
139	256	1573
140	256	1565
141	257	1555
142	258	1548
143	259	1541
144	259	1532
145	260	1524
146	261	1516
147	262	1508
148	262	1500
149	263	1492
150	264	1485
151	264	1477
152	265	1469
153	266	1462
154	266	1454
155	267	1448
156	268	1441
157	269	1434
158	269	1427
159	270	1420
160	270	1412
161	271	1405
162	272	1399
163	273	1395
164	274	1388
165	275	1382
166	275	1375
167	276	1369
168	277	1363
169	277	1356
170	278	1350
171	279	1344
172	279	1338
173	280	1332
174	281	1326
175	282	1320
176	282	1314
177	283	1308
178	284	1302
179	284	1297
180	285	1291
181	286	1285
182	286	1279
183	287	1276
184	288	1271
185	289	1265
186	289	1260
187	290	1255
188	291	1250
189	292	1244
190	292	1239
191	293	1234
192	294	1229
193	294	1224
194	295	1220
195	296	1215
196	297	1210
197	297	1206
198	298	1201
199	299	1196
200	299	1191
201	300	1186
202	301	1182
203	302	1178
204	303	1175
205	303	1171
206	304	1166
207	305	1162
208	305	1157
209	306	1153
210	307	1149
211	308	1145
212	309	1142
213	309	1138
214	310	1134
215	311	1130
216	312	1126
217	312	1121
218	313	1117
219	314	1113
220	314	1109
221	315	1105
222	316	1101
223	317	1099
224	318	1096
225	319	1093
226	320	1090
227	321	1087
228	322	1084
229	323	1082
230	323	1078
231	324	1074
232	325	1071
233	326	1067
234	326	1063
235	327	1059
236	328	1056
237	328	1052
238	329	1048
239	330	1045
240	331	1043
241	332	1041
242	333	1038
243	334	1036
244	335	1032
245	336	1030
246	336	1026
247	337	1023
248	338	1020
249	338	1016
250	339	1013
251	340	1009
252	340	1006
253	341	1003
254	342	999
255	342	996
256	343	993
257	344	990
258	345	987
259	346	985
260	347	983
261	347	980
262	348	977
263	349	974
264	350	970
265	350	968
266	351	965
267	352	962
268	353	959
269	353	956
270	354	953
271	355	950
272	355	947
273	356	944
274	357	941
275	357	938
276	358	935
277	359	933
278	360	930
279	361	928
280	361	926
281	362	923
282	363	920
283	364	917
284	364	915
285	365	912
286	366	909
287	366	907
288	367	904
289	368	901
290	369	899
291	369	896
292	370	893
293	371	891
294	371	888
295	372	886
296	373	883
297	374	881
298	374	878
299	375	877
300	376	874
301	377	872
302	378	869
303	379	867
304	379	865
305	380	863
306	381	860
307	382	858
308	382	856
309	383	853
310	384	851
311	385	849
312	385	846
313	386	844
314	387	841
315	387	839
316	388	837
317	389	835
318	390	833
319	391	832
320	392	829
321	393	827
322	393	825
323	394	823
324	395	821
325	396	819
326	396	816
327	397	814
328	398	812
329	399	810
330	400	808
331	400	806
332	401	804
333	402	802
334	403	800
335	404	799
336	405	798
337	406	796
338	408	795
339	409	794
340	410	792
341	411	791
342	412	789
343	413	787
344	414	786
345	415	784
346	416	782
347	416	781
348	417	779
349	418	777
350	419	775
351	420	774
352	421	772
353	422	770
354	423	768
355	424	767
356	424	765
357	425	763
358	426	761
359	427	759
360	427	757
361	428	755
362	429	752
363	429	750
364	430	748
365	431	746
366	431	745
367	432	743
368	433	742
369	435	740
370	435	739
371	436	737
372	437	735
373	438	733
374	439	731
375	439	730
376	440	728
377	441	726
378	442	724
379	443	723
380	443	721
381	444	719
382	445	717
383	446	716
384	447	714
385	448	712
386	449	711
387	450	710
388	451	709
389	452	707
390	453	706
391	454	704
392	455	703
393	456	701
394	457	699
395	457	698
396	458	696
397	459	695
398	460	693
399	461	692
400	462	690
401	464	690
402	465	689
403	466	687
404	467	686
405	468	684
406	468	683
407	469	681
408	470	680
409	471	678
410	472	676
411	473	675
412	473	673
413	474	671
414	475	669
415	475	667
416	476	666
417	477	664
418	478	663
419	479	662
420	480	660
421	481	659
422	482	657
423	482	656
424	483	654
425	484	652
426	485	651
427	486	649
428	486	648
429	487	646
430	488	645
431	489	643
432	490	641
433	491	640
434	492	639
435	493	638
436	494	637
437	495	635
438	496	634
439	497	632
440	498	631
441	533	673
442	535	672
443	536	671
444	538	671
445	541	673
446	543	672
447	545	672
448	547	671
449	548	670
450	550	669
451	551	668
452	555	670
453	556	669
454	557	667
455	558	666
456	559	664
457	560	662
458	561	661
459	561	659
460	562	657
461	564	657
462	567	657
463	570	659
464	572	659
465	574	658
466	575	656
467	576	654
468	577	653
469	578	651
470	578	650
471	579	648
472	580	646
473	581	645
474	582	643
475	582	641
476	583	640
477	585	639
478	586	637
479	586	635
480	587	634
481	588	632
482	589	631
483	590	629
484	591	627
485	591	625
486	592	624
487	593	622
488	594	620
489	594	619
490	595	617
491	596	615
492	596	613
493	597	612
494	598	610
495	599	609
496	600	607
497	601	606
498	602	604
499	603	603
500	603	601
501	604	599
502	605	598
503	606	596
504	607	595
505	607	593
506	608	591
507	609	590
508	609	588
509	610	586
510	611	584
511	612	583
512	612	581
513	613	580
514	615	579
515	615	577
516	616	576
517	617	574
518	618	573
519	619	571
520	619	569
521	620	568
522	621	566
523	621	565
524	622	563
525	623	561
526	624	560
527	624	558
528	625	557
529	626	555
530	627	553
531	627	552
532	629	551
533	630	549
534	630	548
535	631	546
536	632	545
537	633	543
538	634	542
539	635	540
540	635	539
541	636	538
542	637	536
543	638	534
544	638	533
545	639	531
546	640	530
547	641	528
548	641	527
549	642	525
550	644	524
551	645	523
552	646	522
553	648	521
554	648	520
555	649	518
556	650	517
557	651	515
558	652	514
559	652	512
560	653	511
561	654	509
562	655	508
563	655	506
564	656	505
565	657	503
566	658	502
567	659	501
568	660	500
569	661	498
570	662	497
571	662	495
572	663	494
573	664	492
574	664	491
575	665	489
576	666	488
577	667	487
578	667	485
579	668	484
580	669	482
581	670	481
582	670	479
583	671	478
584	672	476
585	673	475
586	674	474
587	675	473
588	675	471
589	676	470
590	677	468
591	678	467
592	678	465
593	679	464
594	680	463
595	681	461
596	681	460
597	682	458
598	683	457
599	683	455
600	684	454
601	685	453
602	686	451
603	686	450
604	687	449
605	688	447
606	689	446
607	690	445
608	691	443
609	691	442
610	692	441
611	693	439
612	694	438
613	694	436
614	695	435
615	696	434
616	697	432
617	697	431
618	698	430
619	699	428
620	700	427
621	700	425
622	701	424
623	702	423
624	704	422
625	705	421
626	705	419
627	706	418
628	707	417
629	709	416
630	710	415
631	711	414
632	712	413
633	713	412
634	715	411
635	716	409
636	717	408
637	718	407
638	719	406
639	720	405
640	721	404
641	722	403
642	724	401
643	725	400
644	726	399
645	727	398
646	728	397
647	729	396
648	730	395
649	732	394
650	733	393
651	734	391
652	735	390
653	735	389
654	736	388
655	737	386
656	738	385
657	739	384
658	740	383
659	741	381
660	741	380
661	742	379
662	743	377
663	744	376
664	745	375
665	746	374
666	747	373
667	748	372
668	749	370
669	750	369
670	751	368
671	752	367
672	752	365
673	753	364
674	754	363
675	754	361
676	755	360
677	756	359
678	757	357
679	757	356
680	758	355
681	759	354
682	760	352
683	761	351
684	762	350
685	762	349
686	763	347
687	764	346
688	764	345
689	765	344
690	766	342
691	767	341
692	767	340
693	768	338
694	769	337
695	770	336
696	770	335
697	771	333
698	772	332
699	773	331
700	773	330
701	774	328
702	775	327
703	776	326
704	777	325
705	778	323
706	778	322
707	779	321
708	780	320
709	780	318
710	781	317
711	782	316
712	783	315
713	783	313
714	784	312
715	785	311
716	786	310
717	787	309
718	788	308
719	789	306
720	790	305
721	792	304
722	793	304
723	794	302
724	795	301
725	797	300
726	798	299
727	799	298
728	800	297
729	801	296
730	803	295
731	803	294
732	804	293
733	806	292
734	807	291
735	807	289
736	808	288
737	809	287
738	810	286
739	810	284
740	811	283
741	812	282
742	813	281
743	813	279
744	814	278
745	815	277
746	816	276
747	817	275
748	819	274
749	820	273
750	821	272
751	822	271
752	823	270
753	824	269
754	825	267
755	826	266
756	827	265
757	828	264
758	829	263
759	830	262
760	831	261
761	832	259
762	833	258
763	834	257
764	835	256
765	836	255
766	837	254
767	837	253
768	838	251
769	839	250
770	840	249
